ChangeID,Summary,Priority,StatusReason,Impact,ChangePlanning,Submitter,Coordinator,SubmitDateTime,SchStartDateTime,SchEndDateTime,ActualStartDateTime,ActualEndDateTime,CompletedDateTime,ClosedDateTime,CompletedYear,CompletedMonth,ChangeSuccess,ProdCat2,ProdCat3,OpCat1,OpCat2,Customer,CustomerOpco,CustomerGroup,CustomerDept,ApprovalDateTime,SchForAppDateTime,ImpInProgDateTime,LastModifiedDate,CompletedYearQtr,ClosedMonth,ClosedYearQtr
CRQ000000280227,"MS, NASA Area, Migrate NASA/Logtown West Subtations To NGTAN",Medium,Successful,Moderate,Planned,DRB,TT,4:38:24 PM,10:00:00 AM,6:00:00 PM,10:00:00 AM,5:54:00 PM,9:32:45 AM,9:43:47 AM,2023,2023-03,Successful,Transport Device,Other Transport Device,Migrate,Transport,DRB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,1:59:45 PM,12:48:57 PM,9:41:23 AM,9:43:47 AM,2023-Q1,2023-03,2023-Q1
CRQ000000280230,"AL, Liberty Park LTE AT&T Circuit migration",Low,Successful,Minor,Planned,DRI,TT,4:47:11 PM,9:00:00 AM,1:00:00 PM,9:00:00 AM,1:00:00 PM,1:29:15 PM,1:31:30 PM,2023,2023-02,Successful,Transport Device,Other Transport Device,Migrate,Transport,DR,SCS,INFRASTRUCTURE SERVICES,TELECOM AGGREGATE SERVICES,2:46:46 PM,2:38:57 PM,8:41:27 AM,1:31:30 PM,2023-Q1,2023-02,2023-Q1
CRQ000000280321,"AL, Cahaba Heights LTE site Circuit migration",Low,Successful,Minor,Planned,DRI,TT,4:55:54 PM,1:00:00 PM,5:00:00 PM,1:34:00 PM,2:05:00 PM,10:20:38 AM,10:20:51 AM,2023,2023-02,Successful,Transport Device,Other Transport Device,Migrate,Transport,DR,SCS,INFRASTRUCTURE SERVICES,TELECOM AGGREGATE SERVICES,2:46:47 PM,2:37:48 PM,12:41:05 PM,10:20:51 AM,2023-Q1,2023-02,2023-Q1
CRQ000000280505,"AL, Trussville, Splicing dark fiber for CSpire Handoff",Low,Successful,Minor,Planned,RCA,TT,9:38:58 AM,8:00:00 AM,7:00:00 PM,8:00:00 AM,7:00:00 PM,9:39:49 AM,9:40:03 AM,2023,2023-02,Successful,Transport Device,FIBER OPTIC TRANSPORT - FDP / OSP,Install,Transport,RC,SCS,INFRASTRUCTURE SERVICES,FO AL FIBER TO DISTRIBUTION,2:46:46 PM,2:35:09 PM,7:41:26 AM,11:00:39 AM,2023-Q1,2023-02,2023-Q1
CRQ000000280511,"AL, Jasper, Splicing dark fiber for CSpire handoff",Low,Successful,Minor,Planned,RCA,TT,12:43:42 PM,8:00:00 AM,7:00:00 PM,8:00:00 AM,10:00:00 AM,10:19:28 AM,10:19:44 AM,2023,2023-02,Successful,Transport Device,FIBER OPTIC TRANSPORT - FDP / OSP,Install,Transport,RC,SCS,INFRASTRUCTURE SERVICES,FO AL FIBER TO DISTRIBUTION,12:49:44 PM,12:44:45 PM,7:41:12 AM,11:00:39 AM,2023-Q1,2023-02,2023-Q1
CRQ000000280521,"AL, Birmingham, APC HQ Nokia SAR 7750 Software upgrade.",Low,Successful,Minor,Planned,GPB,TT,5:07:20 PM,6:00:00 PM,9:00:00 PM,6:00:00 PM,6:57:00 PM,9:29:53 AM,9:30:12 AM,2023,2023-02,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,2:47:46 PM,12:46:19 PM,5:41:09 PM,9:30:12 AM,2023-Q1,2023-02,2023-Q1
CRQ000000281101,Advisory/Oper Event: AL - WILMER - FIBER RELOCATION - NCC-13949,Low,Successful,Std/PreApp,Planned,HHA,HH,8:20:14 AM,1:00:00 AM,6:00:00 AM,12:00:00 AM,8:04:00 AM,8:15:23 AM,8:15:39 AM,2023,2023-02,Successful,Transport Device,Other Transport Device,Repair,Transport,HMH,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,8:28:37 AM,8:28:36 AM,12:41:20 AM,8:15:39 AM,2023-Q1,2023-02,2023-Q1
CRQ000000281215,"GA, VIENNA LTE G8325, DEKEY SO LINC LTE AND MINILINK MICROWAVE",Low,Successful,Minor,Planned,WKA,TT,3:14:45 PM,6:00:00 PM,8:00:00 PM,6:00:00 PM,8:00:00 PM,9:37:51 AM,9:38:09 AM,2023,2023-02,Successful,Transport Device,Microwave TX/RX (Licensed),Upgrade/Modify,Transport,WK,SCS,INFRASTRUCTURE SERVICES,FO GA OPERATIONS,8:39:36 AM,1:26:26 PM,5:41:21 PM,11:31:19 AM,2023-Q1,2023-02,2023-Q1
CRQ000000281400,"FL, Paxton, Paxton ENODEB, DC Plant Upgrade",Low,Successful,Minor,Planned,LPE,TT,9:40:22 AM,8:00:00 AM,5:00:00 PM,8:00:00 AM,4:50:00 PM,4:59:53 PM,5:00:04 PM,2023,2023-03,Successful,Facilities Component,DC Backup System,Upgrade/Modify,Transport,WLP,COM,PRODUCT DEVELOPMENT & SUPPORT,SE RAN OPS,8:44:57 AM,1:31:09 PM,7:42:25 AM,5:00:04 PM,2023-Q1,2023-03,2023-Q1
CRQ000000281509,"GA, Atlanta & Savannah ICON Ring, Port turn up for SWAN DHA & LFL",Medium,Successful,Moderate,Planned,RPY,TT,12:48:23 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,12:00:00 PM,1:09:04 PM,1:09:34 PM,2023,2023-04,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,3:36:30 PM,1:28:42 PM,8:41:33 AM,11:10:48 PM,2023-Q2,2023-04,2023-Q2
CRQ000000281607,"GA, BRUSNWICK, PLANT MCMANUS, TROUBLESHOOT SAR TRANSPORT LINK",Medium,Successful,Moderate,Planned,WKA,TT,11:30:19 AM,5:00:00 PM,9:00:00 PM,5:10:00 PM,7:06:00 PM,9:42:14 AM,9:43:57 AM,2023,2023-03,Successful,Transport Device,FIBER OPTIC TRANSPORT - FDP / OSP,Repair,Transport,WK,SCS,INFRASTRUCTURE SERVICES,FO GA OPERATIONS,11:10:33 AM,7:30:39 PM,4:41:15 PM,11:31:19 AM,2023-Q1,2023-03,2023-Q1
CRQ000000281615,"GA, Atlanta ICON Ring, Port turn for SWAN DHA & LFL",Medium,Successful,Moderate,Planned,RPY,TT,12:44:39 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,4:55:00 PM,6:00:22 PM,6:07:03 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,4:05:30 PM,1:27:49 PM,8:42:30 AM,11:10:48 PM,2023-Q1,2023-03,2023-Q1
CRQ000000281616,"GA, Atlanta ICON Ring, Port turn up for SWAN DHA & LFL",Medium,Successful,Moderate,Planned,RPY,TT,12:51:42 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,11:06:13 AM,11:13:31 AM,2023,2023-04,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,3:47:30 PM,1:26:46 PM,8:41:32 AM,11:10:48 PM,2023-Q2,2023-04,2023-Q2
CRQ000000281715,"GA, Atlanta and Savannah ICON Ring, Move SWAN to DHA AND LFL path",Medium,Successful,Moderate,Planned,RPY,TT,12:33:45 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,12:09:20 PM,12:23:47 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,3:34:30 PM,1:26:22 PM,8:41:41 AM,11:10:48 PM,2023-Q1,2023-03,2023-Q1
CRQ000000281716,"GA, Savannah ICON Ring, Turn ports up for SWAN to DHA & LFL",Medium,Successful,Moderate,Planned,RPY,TT,12:41:22 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,5:58:50 PM,6:06:56 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,3:31:30 PM,1:44:10 PM,8:41:37 AM,11:10:48 PM,2023-Q1,2023-03,2023-Q1
CRQ000000281917,"AL, GA, MS, LTE Cell site router software upgrades & reboots",Medium,Successful,Moderate,Planned,DRI,TT,12:35:47 PM,12:00:00 AM,2:00:00 AM,12:00:00 AM,2:52:00 AM,9:59:20 AM,10:04:43 AM,2023,2023-03,Successful,Transport Device,Other Transport Device,Upgrade/Modify,Transport,DR,SCS,INFRASTRUCTURE SERVICES,TELECOM AGGREGATE SERVICES,3:46:14 PM,1:24:40 PM,11:41:14 PM,10:04:42 AM,2023-Q1,2023-03,2023-Q1
CRQ000000281925,"MS, GULFPORT, MPC OP CTR UPS -1 DECOMM",Medium,Successful,Moderate,Planned,MVW,TT,2:01:45 PM,8:00:00 AM,6:00:00 PM,8:00:00 AM,12:06:00 PM,9:33:12 AM,9:38:15 AM,2023,2023-03,Successful,Facilities Component,Uninterruptable Power Supply (UPS),Remove/Retire,Transport,MVW,SCS,INFRASTRUCTURE SERVICES,TECH INFRASTRUCTURE ENGRG,11:58:30 AM,11:36:20 AM,7:41:34 AM,5:01:15 PM,2023-Q1,2023-03,2023-Q1
CRQ000000282001,"AL, Birmingham, APC HQ NGTAN Circuit Cut",Medium,Successful,Moderate,Planned,GPB,TT,9:24:05 AM,10:00:00 AM,6:00:00 PM,10:00:00 AM,6:00:00 PM,9:46:11 AM,9:48:08 AM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,10:55:21 AM,9:43:48 AM,9:41:24 AM,9:48:08 AM,2023-Q1,2023-03,2023-Q1
CRQ000000282207,"GA, Cornelia, Rabun Gap, Alex, Long & Currahee Mtn, Winder, NOKIA circuit migration.",Medium,Successful,Moderate,Planned,TSE,TT,10:40:54 AM,8:00:00 AM,11:00:00 PM,8:00:00 AM,5:50:00 PM,9:16:12 AM,9:49:39 AM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Migrate,Transport,TLS,SCS,INFRASTRUCTURE SERVICES,TELECOM AGGREGATE SERVICES,3:30:30 PM,4:45:45 PM,7:41:30 AM,4:14:20 AM,2023-Q1,2023-03,2023-Q1
CRQ000000282216,"AL, Barry SP Ring, Nodes need to be set to Single tie nodes",Low,Successful,Minor,Planned,RPY,TT,3:14:26 PM,10:30:00 AM,5:00:00 PM,11:27:00 AM,3:36:00 PM,4:32:41 PM,4:32:49 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,3:19:30 PM,11:38:31 AM,10:01:43 AM,11:10:48 PM,2023-Q1,2023-03,2023-Q1
CRQ000000282222,"AL, Roanoke, East Roanoke Switching Substation, Migrate Leased Circuit",Low,Successful,Minor,Planned,JBS,TT,4:20:53 PM,9:00:00 AM,8:00:00 PM,9:53:00 AM,12:22:00 PM,11:53:26 AM,11:53:36 AM,2023,2023-03,Successful,Transport Device,CSU / DSU,Migrate,Transport,JBS,SCS,INFRASTRUCTURE SERVICES,FO AL OPERATIONS,6:27:17 PM,5:07:35 PM,8:41:26 AM,10:49:05 AM,2023-Q1,2023-03,2023-Q1
CRQ000000282422,"AL, Anniston, Transport Upgrade Nokia SAR 7705-A8",Low,Successful,Minor,Planned,GPB,TT,4:00:01 PM,10:00:00 AM,1:00:00 PM,11:54:00 AM,12:42:00 PM,1:46:35 PM,1:47:46 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,1:21:01 PM,10:30:27 AM,9:41:31 AM,1:47:46 PM,2023-Q1,2023-03,2023-Q1
CRQ000000282505,"GA, Roswell EBTS building, Replace coax and possibly defective RAU",Low,Successful,Minor,Planned,RGK,TT,11:47:59 AM,9:00:00 AM,5:00:00 PM,9:33:00 AM,12:22:00 PM,5:05:59 PM,5:07:29 PM,2023,2023-02,Successful,Transport Device,Microwave TX/RX (Licensed),Repair,Transport,RGK,SCS,INFRASTRUCTURE SERVICES,FO GA OPERATIONS,1:52:29 PM,1:28:34 PM,8:41:14 AM,11:31:19 AM,2023-Q1,2023-02,2023-Q1
CRQ000000282510,"AL, Birmingham ICON ring, DS1 Sync and FX circuit removal due to not needed (BACKUP DATE)",Medium,Successful,Moderate,Planned,RPY,TT,1:02:33 PM,10:00:00 AM,5:00:00 PM,10:31:00 AM,4:27:00 PM,4:50:21 PM,4:57:10 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Remove/Retire,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,2:22:01 PM,10:36:32 AM,9:41:29 AM,11:10:48 PM,2023-Q1,2023-03,2023-Q1
CRQ000000282518,"AL, Montgomery, J St and SDC, Nokia SAR 7750 and 7705-A8 Software Upgrade",Low,Successful,Minor,Planned,GPB,TT,3:34:32 PM,10:00:00 AM,5:00:00 PM,10:00:00 AM,2:15:00 PM,10:19:52 AM,10:20:03 AM,2023,2023-03,Successful,Transport Device,Other Transport Device,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,1:23:01 PM,10:19:31 AM,9:41:20 AM,10:20:02 AM,2023-Q1,2023-03,2023-Q1
CRQ000000282519,"AL, Birmingham, Leeds and Colonnade, Nokia SAR 7705-A8 Software Upgrade",Medium,Successful,Moderate,Planned,GPB,TT,3:52:13 PM,10:00:00 AM,5:00:00 PM,10:01:00 AM,3:18:00 PM,9:47:50 AM,9:49:49 AM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,2:43:02 PM,10:22:40 AM,9:41:35 AM,9:49:49 AM,2023-Q1,2023-03,2023-Q1
CRQ000000282606,Advisory/Oper Event: GA - WAYCROSS - FIBER REPAIR - NCC-14059,Low,Successful,Std/PreApp,Planned,HHA,HH,11:36:06 AM,12:00:00 AM,6:00:00 AM,12:00:00 AM,7:00:00 AM,8:30:16 AM,8:30:32 AM,2023,2023-03,Successful,Transport Device,Other Transport Device,Repair,Transport,HMH,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,11:43:44 AM,11:43:42 AM,11:41:29 PM,8:30:32 AM,2023-Q1,2023-03,2023-Q1
CRQ000000282608,Advisory/Oper Event: GA - TIFTON - SOFTWARE UPGRADE - NCC-14110,Low,Successful,Std/PreApp,Planned,HHA,HH,11:56:57 AM,12:00:00 AM,6:00:00 AM,12:00:00 AM,2:42:00 AM,8:31:47 AM,8:31:58 AM,2023,2023-03,Successful,Transport Device,Other Transport Device,Repair,Transport,HMH,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,12:06:10 PM,12:06:08 PM,11:41:29 PM,8:31:58 AM,2023-Q1,2023-03,2023-Q1
CRQ000000282612,"AL, Birmingham ICON Ring, NPAD transmitted more than once. Circuit needs to be rebuilt",Medium,Successful,Moderate,Planned,RPY,TT,1:58:38 PM,10:00:00 AM,5:00:00 PM,11:05:00 AM,6:15:00 PM,9:55:00 AM,9:57:07 AM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,2:14:01 PM,10:38:57 AM,9:41:34 AM,11:10:48 PM,2023-Q1,2023-03,2023-Q1
CRQ000000282704,"GA, REIDSVILLE EBTS, REPLACE NPU MODULE ON ERICSSON MINILINK",Low,Successful,Minor,Planned,WKA,TT,9:48:09 AM,9:00:00 AM,11:00:00 AM,9:00:00 AM,10:44:00 AM,9:35:18 AM,9:35:29 AM,2023,2023-03,Successful,Transport Device,Microwave TX/RX (Licensed),Repair,Transport,WK,SCS,INFRASTRUCTURE SERVICES,FO GA OPERATIONS,11:31:38 AM,11:19:47 AM,8:42:26 AM,11:31:19 AM,2023-Q1,2023-03,2023-Q1
CRQ000000282717,Advisory/Oper Event: GA - NORCROSS - FIBER MAINTENANCE  NCC-14121/14123,Low,Successful,Std/PreApp,Planned,HHA,HH,3:13:27 PM,12:00:00 AM,6:00:00 AM,11:27:00 PM,5:45:00 AM,7:26:05 AM,7:26:21 AM,2023,2023-02,Successful,Transport Device,Other Transport Device,Repair,Transport,HMH,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,3:24:02 PM,3:23:10 PM,11:41:11 PM,7:26:21 AM,2023-Q1,2023-02,2023-Q1
CRQ000000282903,"GA, Fowlstown LTE, Router replacement",Low,Successful,Minor,Planned,DRI,TT,12:17:23 PM,9:00:00 AM,1:00:00 PM,9:00:00 AM,1:00:00 PM,5:52:11 PM,5:54:06 PM,2023,2023-03,Successful,Transport Device,Other Transport Device,Repair,Transport,DR,SCS,INFRASTRUCTURE SERVICES,TELECOM AGGREGATE SERVICES,5:35:51 PM,1:34:44 PM,8:41:34 AM,5:54:06 PM,2023-Q1,2023-03,2023-Q1
CRQ000000283612,"AL, Mobile Div Office, Nokia 7705-A8 Software Upgrade",Medium,Successful,Moderate,Planned,GPB,TT,2:54:19 PM,10:00:00 AM,1:00:00 PM,10:07:00 AM,10:48:00 AM,3:16:02 PM,3:23:07 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,2:12:31 PM,2:39:35 PM,9:41:47 AM,3:23:06 PM,2023-Q1,2023-03,2023-Q1
CRQ000000283615,"GA, Menlo LTE, Replace coax and connectors on Microwave radio",Low,Successful,Minor,Planned,RGK,TT,3:37:26 PM,9:00:00 AM,5:00:00 PM,9:00:00 AM,5:00:00 PM,9:21:09 AM,9:21:22 AM,2023,2023-03,Successful,Transport Device,Microwave TX/RX (Licensed),Repair,Transport,RGK,SCS,INFRASTRUCTURE SERVICES,FO GA OPERATIONS,5:33:51 PM,1:32:27 PM,8:41:34 AM,11:31:19 AM,2023-Q1,2023-03,2023-Q1
CRQ000000283703,"GA, Atlanta ICON Ring, Port turn up between ATL Water Storage & NW 115",Medium,Successful,Moderate,Planned,RPY,TT,8:28:48 AM,9:00:00 AM,1:00:00 PM,9:04:00 AM,1:28:00 PM,2:47:46 PM,2:49:16 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,2:13:30 PM,2:37:13 PM,8:41:38 AM,11:10:48 PM,2023-Q1,2023-03,2023-Q1
CRQ000000283710,"AL, Thomasville LTE A9443, install CBRS on the tower",Low,Successful,Minor,Planned,CDL,TT,9:53:12 AM,9:00:00 AM,8:00:00 PM,9:00:00 AM,8:00:00 PM,9:48:01 AM,9:48:20 AM,2023,2023-03,Successful,Transport Device,Antenna System,Install,Transport,CDL,COM,PRODUCT DEVELOPMENT & SUPPORT,RAN OPERATIONS,5:46:51 PM,1:37:46 PM,8:41:38 AM,9:48:19 AM,2023-Q1,2023-03,2023-Q1
CRQ000000283808,"AL, Thomasville LTE A9443, install CBRS on the tower (BACKUP DATE)",Low,Successful,Minor,Planned,CDL,TT,9:53:18 AM,9:00:00 AM,8:00:00 PM,9:00:00 AM,4:00:00 PM,4:08:14 PM,4:08:30 PM,2023,2023-03,Successful,Transport Device,Antenna System,Install,Transport,CDL,COM,PRODUCT DEVELOPMENT & SUPPORT,RAN OPERATIONS,1:06:18 PM,12:26:18 PM,8:41:32 AM,4:08:30 PM,2023-Q1,2023-03,2023-Q1
CRQ000000284002,"AL, Anniston area, NGTAN Circuit Cut.",Low,Successful,Minor,Planned,GPB,TT,10:41:24 AM,3:00:00 PM,7:00:00 PM,3:05:00 PM,8:39:00 PM,9:19:06 AM,9:19:22 AM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,2:18:30 PM,2:24:59 PM,2:41:10 PM,9:19:22 AM,2023-Q1,2023-03,2023-Q1
CRQ000000284111,"GA, Union City, Transmission ROW, Roll to new section of cable",Medium,Successful,Moderate,Planned,JLM,TT,11:18:45 AM,8:00:00 AM,6:00:00 PM,8:04:00 AM,5:09:00 PM,9:50:20 AM,9:52:23 AM,2023,2023-03,Successful,Transport Device,FIBER OPTIC TRANSPORT - FDP / OSP,Install,Transport,JM,SCS,INFRASTRUCTURE SERVICES,FO AL LONG HAUL FIBER,2:18:32 PM,2:27:53 PM,7:42:22 AM,11:13:48 AM,2023-Q1,2023-03,2023-Q1
CRQ000000284112,"GA, Macon, Key St. DCC, Permanent Repair of damaged cable feeding the DCC",Medium,Successful,Moderate,Planned,JLM,TT,11:50:18 AM,8:00:00 AM,6:00:00 PM,8:00:00 AM,2:37:00 PM,9:53:35 AM,9:56:11 AM,2023,2023-03,Successful,Transport Device,FIBER OPTIC TRANSPORT - FDP / OSP,Install,Transport,JM,SCS,INFRASTRUCTURE SERVICES,FO AL LONG HAUL FIBER,2:25:32 PM,2:31:26 PM,7:41:19 AM,11:13:48 AM,2023-Q1,2023-03,2023-Q1
